date,product,category,city,quantity,unit_price_kzt,unit_cost_kzt
2026-08-14,Lamp,Electronics,Astana,13,7500,3900
2026-08-14,USB_drive,Electronics,Astana,6,4200,1900
2026-08-15,Notebook,Stationery,Almaty,2,650,250
2026-08-15,Pen,Stationery,Almaty,9,200,70
2026-08-15,Backpack,Accessories,Almaty,2,14000,7500
2026-08-15,Bottle,Accessories,Almaty,9,3500,1700
2026-08-15,Planner,Stationery,Almaty,2,2400,1000
2026-08-15,Pencil,Stationery,Almaty,9,150,50
2026-08-15,Lamp,Electronics,Almaty,2,7500,3900
2026-08-15,USB_drive,Electronics,Almaty,9,4200,1900
2026-08-16,Notebook,Stationery,Astana,5,650,250
2026-08-16,Pen,Stationery,Astana,12,200,70
2026-08-16,Backpack,Accessories,Astana,5,14000,7500
2026-08-16,Bottle,Accessories,Astana,12,3500,1700
2026-08-16,Planner,Stationery,Astana,5,2400,1000
2026-08-16,Pencil,Stationery,Astana,12,150,50
2026-08-16,Lamp,Electronics,Astana,5,7500,3900
2026-08-16,USB_drive,Electronics,Astana,12,4200,1900
2026-08-17,Notebook,Stationery,Almaty,8,650,250
2026-08-17,Pen,Stationery,Almaty,15,200,70
2026-08-17,Backpack,Accessories,Almaty,8,14000,7500
2026-08-17,Bottle,Accessories,Almaty,15,3500,1700
2026-08-17,Planner,Stationery,Almaty,8,2400,1000
2026-08-17,Pencil,Stationery,Almaty,15,150,50
2026-08-17,Lamp,Electronics,Almaty,8,7500,3900
2026-08-17,USB_drive,Electronics,Almaty,15,4200,1900
2026-08-18,Notebook,Stationery,Astana,11,650,250
2026-08-18,Pen,Stationery,Astana,4,200,70
2026-08-18,Backpack,Accessories,Astana,11,14000,7500
2026-08-18,Bottle,Accessories,Astana,4,3500,1700
2026-08-18,Planner,Stationery,Astana,11,2400,1000
2026-08-18,Pencil,Stationery,Astana,4,150,50
2026-08-18,Lamp,Electronics,Astana,11,7500,3900
2026-08-18,USB_drive,Electronics,Astana,4,4200,1900
2026-08-19,Notebook,Stationery,Almaty,14,650,250
2026-08-19,Pen,Stationery,Almaty,7,200,70
2026-08-19,Backpack,Accessories,Almaty,14,14000,7500
2026-08-19,Bottle,Accessories,Almaty,7,3500,1700
2026-08-19,Planner,Stationery,Almaty,14,2400,1000
2026-08-19,Pencil,Stationery,Almaty,7,150,50
2026-08-19,Lamp,Electronics,Almaty,14,7500,3900
2026-08-19,USB_drive,Electronics,Almaty,7,4200,1900
2026-08-20,Notebook,Stationery,Astana,3,650,250
2026-08-20,Pen,Stationery,Astana,10,200,70
2026-08-20,Backpack,Accessories,Astana,3,14000,7500
2026-08-20,Bottle,Accessories,Astana,10,3500,1700
2026-08-20,Planner,Stationery,Astana,3,2400,1000
2026-08-20,Pencil,Stationery,Astana,10,150,50
2026-08-20,Lamp,Electronics,Astana,3,7500,3900
2026-08-20,USB_drive,Electronics,Astana,10,4200,1900
2026-08-21,Notebook,Stationery,Almaty,6,650,250
2026-08-21,Pen,Stationery,Almaty,13,200,70
2026-08-21,Backpack,Accessories,Almaty,6,14000,7500
2026-08-21,Bottle,Accessories,Almaty,13,3500,1700
2026-08-21,Planner,Stationery,Almaty,6,2400,1000
2026-08-21,Pencil,Stationery,Almaty,13,150,50
2026-08-21,Lamp,Electronics,Almaty,6,7500,3900
2026-08-21,USB_drive,Electronics,Almaty,13,4200,1900
2026-08-22,Notebook,Stationery,Astana,9,650,250
2026-08-22,Pen,Stationery,Astana,2,200,70
2026-08-22,Backpack,Accessories,Astana,9,14000,7500
2026-08-22,Bottle,Accessories,Astana,2,3500,1700
2026-08-22,Planner,Stationery,Astana,9,2400,1000
2026-08-22,Pencil,Stationery,Astana,2,150,50
2026-08-22,Lamp,Electronics,Astana,9,7500,3900
2026-08-22,USB_drive,Electronics,Astana,2,4200,1900
2026-08-23,Notebook,Stationery,Almaty,12,650,250
2026-08-23,Pen,Stationery,Almaty,5,200,70
2026-08-23,Backpack,Accessories,Almaty,12,14000,7500
2026-08-23,Bottle,Accessories,Almaty,5,3500,1700
2026-08-23,Planner,Stationery,Almaty,12,2400,1000
2026-08-23,Pencil,Stationery,Almaty,5,150,50
2026-08-23,Lamp,Electronics,Almaty,12,7500,3900
2026-08-23,USB_drive,Electronics,Almaty,5,4200,1900
2026-08-24,Notebook,Stationery,Astana,15,650,250
2026-08-24,Pen,Stationery,Astana,8,200,70
2026-08-24,Backpack,Accessories,Astana,15,14000,7500
2026-08-24,Bottle,Accessories,Astana,8,3500,1700
2026-08-24,Planner,Stationery,Astana,15,2400,1000
2026-08-24,Pencil,Stationery,Astana,8,150,50
2026-08-24,Lamp,Electronics,Astana,15,7500,3900
2026-08-24,USB_drive,Electronics,Astana,8,4200,1900
2026-08-25,Notebook,Stationery,Almaty,4,650,250
2026-08-25,Pen,Stationery,Almaty,11,200,70
2026-08-25,Backpack,Accessories,Almaty,4,14000,7500
2026-08-25,Bottle,Accessories,Almaty,11,3500,1700
2026-08-25,Planner,Stationery,Almaty,4,2400,1000
2026-08-25,Pencil,Stationery,Almaty,11,150,50
2026-08-25,Lamp,Electronics,Almaty,4,7500,3900
2026-08-25,USB_drive,Electronics,Almaty,11,4200,1900
2026-08-26,Notebook,Stationery,Astana,7,650,250
2026-08-26,Pen,Stationery,Astana,14,200,70
2026-08-26,Backpack,Accessories,Astana,7,14000,7500
2026-08-26,Bottle,Accessories,Astana,14,3500,1700
2026-08-26,Planner,Stationery,Astana,7,2400,1000
2026-08-26,Pencil,Stationery,Astana,14,150,50
2026-08-26,Lamp,Electronics,Astana,7,7500,3900
2026-08-26,USB_drive,Electronics,Astana,14,4200,1900
2026-08-27,Notebook,Stationery,Almaty,10,650,250
2026-08-27,Pen,Stationery,Almaty,3,200,70
2026-08-27,Backpack,Accessories,Almaty,10,14000,7500
2026-08-27,Bottle,Accessories,Almaty,3,3500,1700
2026-08-27,Planner,Stationery,Almaty,10,2400,1000
2026-08-27,Pencil,Stationery,Almaty,3,150,50
2026-08-27,Lamp,Electronics,Almaty,10,7500,3900
2026-08-27,USB_drive,Electronics,Almaty,3,4200,1900
2026-08-28,Notebook,Stationery,Astana,13,650,250
2026-08-28,Pen,Stationery,Astana,6,200,70
2026-08-28,Backpack,Accessories,Astana,13,14000,7500
2026-08-28,Bottle,Accessories,Astana,6,3500,1700
2026-08-28,Planner,Stationery,Astana,13,2400,1000
2026-08-28,Pencil,Stationery,Astana,6,150,50
2026-08-28,Lamp,Electronics,Astana,13,7500,3900
2026-08-28,USB_drive,Electronics,Astana,6,4200,1900
2026-08-29,Notebook,Stationery,Almaty,2,650,250
2026-08-29,Pen,Stationery,Almaty,9,200,70
2026-08-29,Backpack,Accessories,Almaty,2,14000,7500
2026-08-29,Bottle,Accessories,Almaty,9,3500,1700
2026-08-29,Planner,Stationery,Almaty,2,2400,1000
2026-08-29,Pencil,Stationery,Almaty,9,150,50
2026-08-29,Lamp,Electronics,Almaty,2,7500,3900
2026-08-29,USB_drive,Electronics,Almaty,9,4200,1900
2026-08-30,Notebook,Stationery,Astana,5,650,250
2026-08-30,Pen,Stationery,Astana,12,200,70
2026-08-30,Backpack,Accessories,Astana,5,14000,7500
2026-08-30,Bottle,Accessories,Astana,12,3500,1700
2026-08-30,Planner,Stationery,Astana,5,2400,1000
2026-08-30,Pencil,Stationery,Astana,12,150,50
2026-08-30,Lamp,Electronics,Astana,5,7500,3900
2026-08-30,USB_drive,Electronics,Astana,12,4200,1900
2026-08-31,Notebook,Stationery,Almaty,8,650,250
2026-08-31,Pen,Stationery,Almaty,15,200,70
2026-08-31,Backpack,Accessories,Almaty,8,14000,7500
2026-08-31,Bottle,Accessories,Almaty,15,3500,1700
2026-08-31,Planner,Stationery,Almaty,8,2400,1000
2026-08-31,Pencil,Stationery,Almaty,15,150,50
2026-08-31,Lamp,Electronics,Almaty,8,7500,3900
2026-08-31,USB_drive,Electronics,Almaty,15,4200,1900
2026-09-01,Notebook,Stationery,Astana,11,650,250
2026-09-01,Pen,Stationery,Astana,4,200,70
2026-09-01,Backpack,Accessories,Astana,11,14000,7500
2026-09-01,Bottle,Accessories,Astana,4,3500,1700
2026-09-01,Planner,Stationery,Astana,11,2400,1000
2026-09-01,Pencil,Stationery,Astana,4,150,50
2026-09-01,Lamp,Electronics,Astana,11,7500,3900
2026-09-01,USB_drive,Electronics,Astana,4,4200,1900
2026-09-02,Notebook,Stationery,Almaty,14,650,250
2026-09-02,Pen,Stationery,Almaty,7,200,70
2026-09-02,Backpack,Accessories,Almaty,14,14000,7500
2026-09-02,Bottle,Accessories,Almaty,7,3500,1700
2026-09-02,Planner,Stationery,Almaty,14,2400,1000
2026-09-02,Pencil,Stationery,Almaty,7,150,50
2026-09-02,Lamp,Electronics,Almaty,14,7500,3900
2026-09-02,USB_drive,Electronics,Almaty,7,4200,1900
2026-09-03,Notebook,Stationery,Astana,3,650,250
2026-09-03,Pen,Stationery,Astana,10,200,70
2026-09-03,Backpack,Accessories,Astana,3,14000,7500
2026-09-03,Bottle,Accessories,Astana,10,3500,1700
2026-09-03,Planner,Stationery,Astana,3,2400,1000
2026-09-03,Pencil,Stationery,Astana,10,150,50
2026-09-03,Lamp,Electronics,Astana,3,7500,3900
2026-09-03,USB_drive,Electronics,Astana,10,4200,1900
2026-09-04,Notebook,Stationery,Almaty,6,650,250
2026-09-04,Pen,Stationery,Almaty,13,200,70
2026-09-04,Backpack,Accessories,Almaty,6,14000,7500
2026-09-04,Bottle,Accessories,Almaty,13,3500,1700
2026-09-04,Planner,Stationery,Almaty,6,2400,1000
2026-09-04,Pencil,Stationery,Almaty,13,150,50
2026-09-04,Lamp,Electronics,Almaty,6,7500,3900
2026-09-04,USB_drive,Electronics,Almaty,13,4200,1900
2026-09-05,Notebook,Stationery,Astana,9,650,250
2026-09-05,Pen,Stationery,Astana,2,200,70
2026-09-05,Backpack,Accessories,Astana,9,14000,7500
2026-09-05,Bottle,Accessories,Astana,2,3500,1700
2026-09-05,Planner,Stationery,Astana,9,2400,1000
2026-09-05,Pencil,Stationery,Astana,2,150,50
2026-09-05,Lamp,Electronics,Astana,9,7500,3900
2026-09-05,USB_drive,Electronics,Astana,2,4200,1900
2026-09-06,Notebook,Stationery,Almaty,12,650,250
2026-09-06,Pen,Stationery,Almaty,5,200,70
2026-09-06,Backpack,Accessories,Almaty,12,14000,7500
2026-09-06,Bottle,Accessories,Almaty,5,3500,1700
2026-09-06,Planner,Stationery,Almaty,12,2400,1000
2026-09-06,Pencil,Stationery,Almaty,5,150,50
2026-09-06,Lamp,Electronics,Almaty,12,7500,3900
2026-09-06,USB_drive,Electronics,Almaty,5,4200,1900
2026-09-07,Notebook,Stationery,Astana,15,650,250
2026-09-07,Pen,Stationery,Astana,8,200,70
2026-09-07,Backpack,Accessories,Astana,15,14000,7500
2026-09-07,Bottle,Accessories,Astana,8,3500,1700
2026-09-07,Planner,Stationery,Astana,15,2400,1000
2026-09-07,Pencil,Stationery,Astana,8,150,50
2026-09-07,Lamp,Electronics,Astana,15,7500,3900
2026-09-07,USB_drive,Electronics,Astana,8,4200,1900
2026-09-08,Notebook,Stationery,Almaty,4,650,250
2026-09-08,Pen,Stationery,Almaty,11,200,70
2026-09-08,Backpack,Accessories,Almaty,4,14000,7500
2026-09-08,Bottle,Accessories,Almaty,11,3500,1700
2026-09-08,Planner,Stationery,Almaty,4,2400,1000
2026-09-08,Pencil,Stationery,Almaty,11,150,50
2026-09-08,Lamp,Electronics,Almaty,4,7500,3900
2026-09-08,USB_drive,Electronics,Almaty,11,4200,1900
2026-09-09,Notebook,Stationery,Astana,7,650,250
2026-09-09,Pen,Stationery,Astana,14,200,70
2026-09-09,Backpack,Accessories,Astana,7,14000,7500
2026-09-09,Bottle,Accessories,Astana,14,3500,1700
2026-09-09,Planner,Stationery,Astana,7,2400,1000
2026-09-09,Pencil,Stationery,Astana,14,150,50
2026-09-09,Lamp,Electronics,Astana,7,7500,3900
2026-09-09,USB_drive,Electronics,Astana,14,4200,1900
2026-09-10,Notebook,Stationery,Almaty,10,650,250
2026-09-10,Pen,Stationery,Almaty,3,200,70
2026-09-10,Backpack,Accessories,Almaty,10,14000,7500
2026-09-10,Bottle,Accessories,Almaty,3,3500,1700
2026-09-10,Planner,Stationery,Almaty,10,2400,1000
2026-09-10,Pencil,Stationery,Almaty,3,150,50
2026-09-10,Lamp,Electronics,Almaty,10,7500,3900
2026-09-10,USB_drive,Electronics,Almaty,3,4200,1900
2026-09-11,Notebook,Stationery,Astana,13,650,250
2026-09-11,Pen,Stationery,Astana,6,200,70
2026-09-11,Backpack,Accessories,Astana,13,14000,7500
2026-09-11,Bottle,Accessories,Astana,6,3500,1700
2026-09-11,Planner,Stationery,Astana,13,2400,1000
2026-09-11,Pencil,Stationery,Astana,6,150,50
2026-09-11,Lamp,Electronics,Astana,13,7500,3900
2026-09-11,USB_drive,Electronics,Astana,6,4200,1900
2026-09-12,Notebook,Stationery,Almaty,2,650,250
2026-09-12,Pen,Stationery,Almaty,9,200,70
2026-09-12,Backpack,Accessories,Almaty,2,14000,7500
2026-09-12,Bottle,Accessories,Almaty,9,3500,1700
2026-09-12,Planner,Stationery,Almaty,2,2400,1000
2026-09-12,Pencil,Stationery,Almaty,9,150,50
2026-09-12,Lamp,Electronics,Almaty,2,7500,3900
2026-09-12,USB_drive,Electronics,Almaty,9,4200,1900
2026-09-13,Notebook,Stationery,Astana,5,650,250
2026-09-13,Pen,Stationery,Astana,12,200,70
2026-09-13,Backpack,Accessories,Astana,5,14000,7500
2026-09-13,Bottle,Accessories,Astana,12,3500,1700
2026-09-13,Planner,Stationery,Astana,5,2400,1000
2026-09-13,Pencil,Stationery,Astana,12,150,50
2026-09-13,Lamp,Electronics,Astana,5,7500,3900
2026-09-13,USB_drive,Electronics,Astana,12,4200,1900
2026-09-14,Notebook,Stationery,Almaty,8,650,250
2026-09-14,Pen,Stationery,Almaty,15,200,70
2026-09-14,Backpack,Accessories,Almaty,8,14000,7500
2026-09-14,Bottle,Accessories,Almaty,15,3500,1700
2026-09-14,Planner,Stationery,Almaty,8,2400,1000
2026-09-14,Pencil,Stationery,Almaty,15,150,50
2026-09-14,Lamp,Electronics,Almaty,8,7500,3900
2026-09-14,USB_drive,Electronics,Almaty,15,4200,1900
2026-09-15,Notebook,Stationery,Astana,11,650,250
2026-09-15,Pen,Stationery,Astana,4,200,70
2026-09-15,Backpack,Accessories,Astana,11,14000,7500
2026-09-15,Bottle,Accessories,Astana,4,3500,1700
2026-09-15,Planner,Stationery,Astana,11,2400,1000
2026-09-15,Pencil,Stationery,Astana,4,150,50
2026-09-15,Lamp,Electronics,Astana,11,7500,3900
2026-09-15,USB_drive,Electronics,Astana,4,4200,1900
2026-09-16,Notebook,Stationery,Almaty,14,650,250
2026-09-16,Pen,Stationery,Almaty,7,200,70
2026-09-16,Backpack,Accessories,Almaty,14,14000,7500
2026-09-16,Bottle,Accessories,Almaty,7,3500,1700
2026-09-16,Planner,Stationery,Almaty,14,2400,1000
2026-09-16,Pencil,Stationery,Almaty,7,150,50
2026-09-16,Lamp,Electronics,Almaty,14,7500,3900
2026-09-16,USB_drive,Electronics,Almaty,7,4200,1900
2026-09-17,Notebook,Stationery,Astana,3,650,250
2026-09-17,Pen,Stationery,Astana,10,200,70
2026-09-17,Backpack,Accessories,Astana,3,14000,7500
2026-09-17,Bottle,Accessories,Astana,10,3500,1700
2026-09-17,Planner,Stationery,Astana,3,2400,1000
2026-09-17,Pencil,Stationery,Astana,10,150,50
2026-09-17,Lamp,Electronics,Astana,3,7500,3900
2026-09-17,USB_drive,Electronics,Astana,10,4200,1900
2026-09-18,Notebook,Stationery,Almaty,6,650,250
2026-09-18,Pen,Stationery,Almaty,13,200,70
2026-09-18,Backpack,Accessories,Almaty,6,14000,7500
2026-09-18,Bottle,Accessories,Almaty,13,3500,1700
2026-09-18,Planner,Stationery,Almaty,6,2400,1000
2026-09-18,Pencil,Stationery,Almaty,13,150,50
2026-09-18,Lamp,Electronics,Almaty,6,7500,3900
2026-09-18,USB_drive,Electronics,Almaty,13,4200,1900
2026-09-19,Notebook,Stationery,Astana,9,650,250
2026-09-19,Pen,Stationery,Astana,2,200,70
2026-09-19,Backpack,Accessories,Astana,9,14000,7500
2026-09-19,Bottle,Accessories,Astana,2,3500,1700
2026-09-19,Planner,Stationery,Astana,9,2400,1000
2026-09-19,Pencil,Stationery,Astana,2,150,50
2026-09-19,Lamp,Electronics,Astana,9,7500,3900
2026-09-19,USB_drive,Electronics,Astana,2,4200,1900
2026-09-20,Notebook,Stationery,Almaty,12,650,250
2026-09-20,Pen,Stationery,Almaty,5,200,70
2026-09-20,Backpack,Accessories,Almaty,12,14000,7500
2026-09-20,Bottle,Accessories,Almaty,5,3500,1700
2026-09-20,Planner,Stationery,Almaty,12,2400,1000
2026-09-20,Pencil,Stationery,Almaty,5,150,50
2026-09-20,Lamp,Electronics,Almaty,12,7500,3900
2026-09-20,USB_drive,Electronics,Almaty,5,4200,1900
2026-09-21,Notebook,Stationery,Astana,15,650,250
2026-09-21,Pen,Stationery,Astana,8,200,70
2026-09-21,Backpack,Accessories,Astana,15,14000,7500
2026-09-21,Bottle,Accessories,Astana,8,3500,1700
2026-09-21,Planner,Stationery,Astana,15,2400,1000
2026-09-21,Pencil,Stationery,Astana,8,150,50
2026-09-21,Lamp,Electronics,Astana,15,7500,3900
2026-09-21,USB_drive,Electronics,Astana,8,4200,1900
2026-09-22,Notebook,Stationery,Almaty,4,650,250
2026-09-22,Pen,Stationery,Almaty,11,200,70
2026-09-22,Backpack,Accessories,Almaty,4,14000,7500
2026-09-22,Bottle,Accessories,Almaty,11,3500,1700
2026-09-22,Planner,Stationery,Almaty,4,2400,1000
2026-09-22,Pencil,Stationery,Almaty,11,150,50
2026-09-22,Lamp,Electronics,Almaty,4,7500,3900
2026-09-22,USB_drive,Electronics,Almaty,11,4200,1900
2026-09-23,Notebook,Stationery,Astana,7,650,250
2026-09-23,Pen,Stationery,Astana,14,200,70
2026-09-23,Backpack,Accessories,Astana,7,14000,7500
2026-09-23,Bottle,Accessories,Astana,14,3500,1700
2026-09-23,Planner,Stationery,Astana,7,2400,1000
2026-09-23,Pencil,Stationery,Astana,14,150,50
2026-09-23,Lamp,Electronics,Astana,7,7500,3900
2026-09-23,USB_drive,Electronics,Astana,14,4200,1900
2026-09-24,Notebook,Stationery,Almaty,10,650,250
2026-09-24,Pen,Stationery,Almaty,3,200,70
2026-09-24,Backpack,Accessories,Almaty,10,14000,7500
2026-09-24,Bottle,Accessories,Almaty,3,3500,1700
2026-09-24,Planner,Stationery,Almaty,10,2400,1000
2026-09-24,Pencil,Stationery,Almaty,3,150,50
2026-09-24,Lamp,Electronics,Almaty,10,7500,3900
2026-09-24,USB_drive,Electronics,Almaty,3,4200,1900
2026-09-25,Notebook,Stationery,Astana,13,650,250
2026-09-25,Pen,Stationery,Astana,6,200,70
2026-09-25,Backpack,Accessories,Astana,13,14000,7500
2026-09-25,Bottle,Accessories,Astana,6,3500,1700
2026-09-25,Planner,Stationery,Astana,13,2400,1000
2026-09-25,Pencil,Stationery,Astana,6,150,50
2026-09-25,Lamp,Electronics,Astana,13,7500,3900
2026-09-25,USB_drive,Electronics,Astana,6,4200,1900
